VID,"videoInfo.videoError: Descending","Unique count of vid",errors
"52,910",4,1,1
"53,015",4,1,1
"53,188",4,1,14
"53,193",4,1,3
"53,253",4,1,7
"53,342",3,1,1
"53,460",3,1,2
"53,460",4,1,73
"53,496",4,1,1
"53,580",4,1,1
"53,585",3,1,1
"53,585",4,1,2
"53,772",4,1,4
"53,952",4,1,1
"53,960",4,1,1
"54,057",3,1,1
"54,325",4,1,1
"54,462",4,1,1
"54,485",4,1,2
"54,490",4,1,1
"54,491",4,1,8
"54,492",4,1,4
"54,513",4,1,5
"54,530",4,1,6
"54,655",4,1,1
"54,916",4,1,51
"54,946",4,1,3
"55,072",4,1,1
"55,080",4,1,7
"55,526",4,1,1
"55,660",4,1,3
"55,669",3,1,1
"55,834",4,1,1
"55,846",3,1,1
"56,030",4,1,1
"56,059",4,1,4
"56,166",4,1,13
"56,260",4,1,1
"56,263",4,1,4
"56,398",4,1,1
"56,442",4,1,9
"56,584",4,1,2
"56,588",4,1,6
"56,610",3,1,1
"56,610",4,1,2
"56,628",3,1,1
"56,628",4,1,1
"56,709",4,1,1
"56,748",3,1,1
"56,784",4,1,14
"56,925",4,1,6
"56,930",4,1,1
"56,978",4,1,14
"57,002",4,1,1
"57,106",4,1,5
"57,108",4,1,1
"57,109",4,1,2
"57,197",4,1,23
"57,234",4,1,4
"57,235",3,1,2
"57,337",4,1,2
"57,384",3,1,1
"57,384",4,1,1
"57,452",4,1,1
"57,529",3,1,1
"57,631",4,1,1
"57,656",4,1,3
"57,720",4,1,2
"58,089",4,1,2
"58,115",4,1,16
"58,128",4,1,2
"58,129",3,1,1
"58,130",4,1,17
"58,154",3,1,1
"58,313",3,1,1
"58,390",3,1,1
"58,428",3,1,4
"58,630",4,1,1
"58,691",4,1,1
"58,709",4,1,1
"58,768",4,1,43
"58,773",4,1,1
"58,793",4,1,1
"58,865",4,1,1
"59,023",3,1,1
"59,051",4,1,1
"59,102",4,1,1
"59,119",4,1,1
"59,141",3,1,3
"59,141",4,1,6
"59,264",4,1,8
"59,269",4,1,42
"59,524",4,1,2
"59,724",4,1,9
"59,929",4,1,1
"59,975",4,1,2
"60,168",4,1,1
"60,224",4,1,7
"60,334",4,1,1
"60,346",4,1,1
"60,367",4,1,1
"60,399",4,1,63
"60,428",4,1,4
"60,641",4,1,1
"60,646",4,1,2
"60,647",4,1,3
"60,660",4,1,1
"60,765",4,1,2
"60,773",3,1,1
"60,781",4,1,17
"60,819",4,1,17
"60,847",3,1,1
